,gRNA_name,status
0,AARS_B,annotation_only
1,AARS_C,annotation_only
2,AARS_main,annotation_only
3,AATF_-_35306286.23-P1P2-1,annotation_only
4,AATF_-_35306286.23-P1P2-2,annotation_only
5,AATF_-_35306333.23-P1P2-1,annotation_only
6,AATF_-_35306333.23-P1P2-2,annotation_only
7,AATF_-_35306351.23-P1P2-1,annotation_only
8,AATF_-_35306351.23-P1P2-2,annotation_only
9,ADNP2_-_77867648.23-P1P2-1,annotation_only
10,ADNP2_-_77867672.23-P1P2-1,annotation_only
11,ADNP2_-_77867672.23-P1P2-2,annotation_only
12,ADNP_+_49547361.23-P1P2-1,annotation_only
13,ADNP_+_49547361.23-P1P2-2,annotation_only
14,ADNP_-_49547603.23-P1P2-1,annotation_only
15,ADNP_-_49547651.23-P1P2-1,annotation_only
16,ADNP_-_49547651.23-P1P2-2,annotation_only
17,AEBP1_+_44144090.23-P1P2-1,annotation_only
18,AEBP1_+_44144090.23-P1P2-2,annotation_only
19,AEBP1_+_44144108.23-P1P2-1,annotation_only
20,AEBP2_+_19592658.23-P1P2-1,annotation_only
21,AEBP2_-_19592590.23-P1P2-1,annotation_only
22,AFF1_-_87856378.23-P1P2-1,annotation_only
23,AFF2_+_147582601.23-P1P2-1,annotation_only
24,AHCTF1_+_247095215.23-P1P2-1,annotation_only
25,AHCTF1_+_247095215.23-P1P2-2,annotation_only
26,AHDC1_+_27930669.23-P1P2-2,annotation_only
27,AHRR_+_321892.23-P1P2-2,annotation_only
28,AKNA_+_117160732.23-P2-2,annotation_only
29,ALX3_+_110613176.23-P1P2-2,annotation_only
30,ALYREF_+_79849212.23-P1P2-1,annotation_only
31,ALYREF_+_79849212.23-P1P2-2,annotation_only
32,ALYREF_-_79849458.23-P1P2-2,annotation_only
33,ANHX_+_133812211.23-P1P2-1,annotation_only
34,ANHX_+_133812211.23-P1P2-2,annotation_only
35,ANHX_+_133812391.23-P1P2-1,annotation_only
36,ARID1A_-_27022766.23-P1P2-1,annotation_only
37,ARID1A_-_27022766.23-P1P2-2,annotation_only
38,ARID1B_+_157098803.23-P1-1,annotation_only
39,ARID1B_-_157098992.23-P1-1,annotation_only
40,ARID1B_-_157098992.23-P1-2,annotation_only
41,ARID1B_-_157099132.23-P1-1,annotation_only
42,ARID1B_-_157099132.23-P1-2,annotation_only
43,ARID1B_-_157100305.23-P2-2,annotation_only
44,ARID2_+_46123494.23-P1P2-2,annotation_only
45,ARID3A_+_926082.23-P1P2-2,annotation_only
46,ARID3A_-_926022.23-P1P2-1,annotation_only
47,ARID3C_-_34628383.23-P1P2-1,annotation_only
48,ARID3C_-_34628383.23-P1P2-2,annotation_only
49,ARID3C_-_34628471.23-P1P2-1,annotation_only
50,ARID3C_-_34628471.23-P1P2-2,annotation_only
51,ARID3C_-_34628544.23-P1P2-1,annotation_only
52,ARID3C_-_34628544.23-P1P2-2,annotation_only
53,ARID4A_-_58765292.23-P1P2-2,annotation_only
54,ARID5A_-_97202539.23-P1P2-1,annotation_only
55,ARID5B_-_63660959.23-ENST00000279873.7-1,annotation_only
56,ARNT2_+_80696763.23-P1P2-2,annotation_only
57,ARNT2_-_80696751.23-P1P2-1,annotation_only
58,ARNTL_+_13299385.23-P1P2-2,annotation_only
59,ARNTL_+_13299417.23-P1P2-1,annotation_only
60,ARNTL_+_13299417.23-P1P2-2,annotation_only
61,ARNT_+_150848808.23-P1P2-1,annotation_only
62,ARNT_+_150849006.23-P1P2-2,annotation_only
63,AR_+_66763866.23-P1P2-2,annotation_only
64,AR_+_66764242.23-P1P2-1,annotation_only
65,AR_-_66763912.23-P1P2-1,annotation_only
66,ASCL3_+_8964301.23-P1P2-1,annotation_only
67,ASCL3_+_8964301.23-P1P2-2,annotation_only
68,ASH1L_+_155532507.23-P1P2-1,annotation_only
69,ATF1_-_51157890.23-P1P2-2,annotation_only
70,ATF1_-_51158152.23-P1P2-1,annotation_only
71,ATF3_+_212782100.23-P1P2-2,annotation_only
72,ATF5_+_50432363.23-P1P2-1,annotation_only
73,ATF5_+_50432363.23-P1P2-2,annotation_only
74,ATF5_+_50432696.23-P1P2-1,annotation_only
75,ATF5_+_50432696.23-P1P2-2,annotation_only
76,ATF5_+_50432714.23-P1P2-1,annotation_only
77,ATF5_+_50432714.23-P1P2-2,annotation_only
78,ATF6B_-_32095947.23-P1P2-2,annotation_only
79,ATF6_+_161736292.23-P1P2-1,annotation_only
80,ATMIN_+_81069441.23-P1P2-1,annotation_only
81,ATMIN_+_81069441.23-P1P2-2,annotation_only
82,ATMIN_+_81069685.23-P1P2-2,annotation_only
83,ATMIN_+_81069786.23-P1P2-2,annotation_only
84,ATN1_+_7036957.23-P1P2-2,annotation_only
85,ATOH8_-_85981251.23-P1P2-1,annotation_only
86,ATXN7_-_63850049.23-ENST00000398590.3-2,annotation_only
87,ATXN7_-_63898461.23-ENST00000538065.1-1,annotation_only
88,ATXN7_-_63898568.23-ENST00000538065.1-2,annotation_only
89,BACH1_-_30671373.23-P1P2-2,annotation_only
90,BACH2_+_91006457.23-P1P2-2,annotation_only
91,BARHL1_+_135457544.23-P1P2-2,annotation_only
92,BARX1_+_96717617.23-P1P2-2,annotation_only
93,BARX1_-_96717530.23-P1P2-1,annotation_only
94,BARX1_-_96717533.23-P1P2-1,annotation_only
95,BATF2_-_64764409.23-P1P2-1,annotation_only
96,BATF3_+_212872874.23-P1P2-2,annotation_only
97,BATF_-_75988876.23-P1P2-2,annotation_only
98,BBX_-_107242317.23-P1P2-1,annotation_only
99,BCL11B_+_99738010.23-P1P2-2,annotation_only
