,index,x,y,cluster
0,ADNP2:P1P2,1.686186,81.36863,7
1,AFF4:P1P2,-29.634752,93.547226,0
2,AHCY:P1P2,-0.5984774,129.54622,0
3,AHDC1:P1P2,64.707405,-75.61587,5
4,APITD1:P1P2,-19.531874,-1.8631454,25
5,AR:P1P2,-27.546103,-101.92501,5
6,ARID2:P1P2,-57.18441,97.1779,35
7,ARID3A:P1P2,17.808418,29.024649,5
8,ARID3B:P1P2,18.328403,26.913933,53
9,ARID4A:P1P2,45.24552,-26.976845,23
10,ARID4B:P1P2,-34.51101,-68.67392,27
11,ARNT:P1P2,67.63165,14.293286,1
12,ARNTL2:P1P2,-5.80801,109.648895,7
13,ATF6B:P1P2,-79.089264,1.3055421,27
14,ATMIN:P1P2,-71.992966,113.27321,2
15,ATOH8:P1P2,84.9113,-9.937469,23
16,ATXN7:ENST00000398590.3,20.81589,-60.36818,5
17,ATXN7:ENST00000538065.1,19.845724,-48.796093,25
18,BAZ2A:P1,26.20752,68.54539,54
19,BBX:P1P2,23.234552,66.60829,54
20,BCLAF1:P1P2,10.426887,-2.0035834,24
21,BNC1:P1P2,35.13049,-45.406734,31
22,BOLA1:P2,42.042377,65.946144,53
23,BOLA3:P1P2,-45.22514,-35.842346,50
24,BPTF:P1P2,-53.63936,126.26665,7
25,BRPF1:P1P2,-86.59404,14.944572,3
26,BSX:P1P2,99.11742,-74.741486,25
27,C11orf95:P1P2,-55.306053,64.531075,4
28,CAMTA2:P1P2,55.07277,-84.292694,52
29,CARHSP1:P1P2,76.165245,-0.54750496,53
30,CASZ1:ENST00000377022.3,19.112616,-26.014662,51
31,CBFA2T3:P2,4.0149174,130.15701,44
32,CDIP1:P1P2,60.979908,17.986868,53
33,CDK2:P1P2,-25.408325,-12.232213,5
34,CDK9:P1P2,-32.402046,15.79492,50
35,CDX1:P1P2,56.302174,3.4783144,23
36,CDX2:P1P2,20.026197,-103.21483,49
37,CDX4:P1P2,-6.2590632,-102.00917,5
38,CEBPG:P1P2,-19.96373,128.96384,44
39,CHAMP1:P1P2,4.950295,136.94528,6
40,CHD7:P1P2,-16.659868,86.685875,7
41,CNBP:P1P2,-30.802916,96.61864,0
42,CNOT7:P1P2,-68.48215,-13.628614,25
43,COX20:P1P2,76.5248,37.553196,51
44,CPEB1:ENST00000568128.1,83.98086,-22.864199,23
45,CRAMP1L:P2,56.29357,28.359365,23
46,CREB1:P1P2,5.986722,86.12016,44
47,CREBBP:P1P2,-7.4464417,-129.77083,5
48,CSNK2A1:P1P2,20.073587,-62.406815,5
49,CSRNP2:P1P2,54.488434,-64.46075,52
50,CSRNP3:P1,-28.839914,-67.160095,31
51,CTBP1:P1P2,24.635637,72.479126,54
52,CXXC5:P1P2,-43.05012,-40.67628,50
53,DAXX:P2,-28.772118,-101.4056,27
54,DBX2:P1P2,96.78551,-33.014202,23
55,DCP1A:P1P2,-3.299481,111.69598,44
56,DEK:P1P2,90.11813,-17.65979,23
57,DHX9:P1P2,50.254833,-72.1483,25
58,DLX2:P1P2,-4.695496,46.10579,54
59,DMBX1:P1P2,-18.187897,-24.146276,27
60,DNAJC1:P1P2,-14.111943,115.61505,7
61,DNTTIP1:P1P2,-6.7288938,107.015045,8
62,DOT1L:P1P2,17.989143,-114.02209,9
63,DPF2:P1,-31.689623,135.90527,10
64,E2F6:P1P2,-23.703041,-9.822442,47
65,EGR1:P2,11.211842,-38.293663,25
66,ELF1:P1P2,-48.62967,-29.60076,47
67,ELF4:P1P2,0.03805703,105.48913,51
68,ELMSAN1:P2,100.53019,-81.262405,52
69,EOMES:P1P2,-75.11898,122.2896,11
70,EP300:P1P2,-7.5730257,-130.96654,5
71,ERF:P1P2,53.66096,-90.929115,49
72,ESRRA:P1P2,15.29179,102.99914,51
73,ETF1:P1P2,106.59669,-74.121735,31
74,ETS1:P1P2,6.762732,129.68945,44
75,ETV3:P1P2,37.176525,-42.18193,53
76,ETV3L:P1P2,16.604826,-8.534872,31
77,EVX1:P1P2,53.605885,-6.9000196,23
78,EZH1:P1P2,-1.8259652,106.84579,51
79,FEZF2:P1P2,-74.864265,12.066431,47
80,FOS:P1,17.290058,-105.9469,49
81,FOXA2:P1P2,-14.360564,112.0183,7
82,FOXC1:P1P2,-20.486792,152.9136,44
83,FOXD3:P1,-74.72833,114.320946,35
84,FOXD3:P2,-75.11634,115.72564,35
85,FOXH1:P1P2,-49.98698,41.2792,12
86,FOXI3:P1P2,19.43979,-30.49373,25
87,FOXJ2:P1P2,98.08401,-73.96012,53
88,FOXL1:P1P2,44.664337,65.387,23
89,FOXN1:P1P2,12.117264,-34.977924,25
90,FOXN3:P1,56.71555,-20.002943,53
91,FOXP4:P1P2,63.646606,26.859877,53
92,GATA4:P1P2,-77.49066,109.537704,13
93,GATA6:P1P2,-32.61661,17.071587,50
94,GATAD1:P1P2,-54.02763,115.27686,14
