,cell_count,type,distance_0,pval_0,distance_1,pval_1,distance_2,pval_2,distance_3,pval_3,distance_4,pval_4,distance_5,pval_5,distance_6,pval_6,distance_7,pval_7,distance_8,pval_8,distance_9,pval_9,distance_10,pval_10,distance_11,pval_11,distance_12,pval_12,distance_13,pval_13,distance_14,pval_14,distance_15,pval_15,distance_16,pval_16,distance_17,pval_17,distance_18,pval_18,distance_19,pval_19,distance_mean,pval_mean,pval_mean_log,distance_mean_log
DNAJC19,837,positive control,17.1788330078125,0.0,16.1380615234375,0.0,12.4158935546875,0.0,15.8338623046875,0.0,14.290283203125,0.0,14.7513427734375,0.0,14.9234619140625,0.0,17.7064208984375,0.0,15.6392822265625,0.0,13.6895751953125,0.0,18.56494140625,0.0,14.438232421875,0.0,15.9710693359375,0.0,14.72900390625,0.0,13.5003662109375,0.0,13.3519287109375,0.0,17.16162109375,0.0,11.83251953125,0.0,18.3642578125,0.0,15.3741455078125,0.0,15.292755126953125,0.0,5.0,1.1844857345060302
OR5K2,560,negative control,6.5904541015625,0.02,6.8458251953125,0.024,7.0592041015625,0.01,6.328125,0.022,6.786376953125,0.019,7.2027587890625,0.005,4.9085693359375,0.068,5.7607421875,0.034,7.20849609375,0.008,8.2889404296875,0.003,6.164794921875,0.023,7.244140625,0.012,5.23095703125,0.036,6.2213134765625,0.02,9.1734619140625,0.003,6.2454833984375,0.017,5.1221923828125,0.049,7.6273193359375,0.008,5.8070068359375,0.039,6.129638671875,0.017,6.5972900390625,0.02185,1.660349842386316,0.8193655775464942
SP8:P1P2,168,targeting,42.7313232421875,0.0,43.432861328125,0.0,45.3363037109375,0.0,44.8817138671875,0.0,45.232177734375,0.0,44.4117431640625,0.0,39.1531982421875,0.0,40.6070556640625,0.0,44.793701171875,0.0,46.33935546875,0.0,41.6800537109375,0.0,44.624267578125,0.0,38.2330322265625,0.0,41.7886962890625,0.0,50.47705078125,0.0,41.4788818359375,0.0,36.9522705078125,0.0,45.41796875,0.0,39.7030029296875,0.0,38.7015380859375,0.0,42.79880981445312,0.0,5.0,1.631431691952367
FOXN3:P2,397,targeting,3.1038818359375,0.533,2.847900390625,0.616,2.1065673828125,0.851,2.618408203125,0.661,3.004638671875,0.516,2.5772705078125,0.668,2.3548583984375,0.768,2.5855712890625,0.728,2.4111328125,0.77,2.312255859375,0.782,2.9156494140625,0.608,2.85009765625,0.566,2.4866943359375,0.698,2.6917724609375,0.643,3.49267578125,0.455,1.9776611328125,0.873,2.4586181640625,0.746,2.371337890625,0.738,2.8499755859375,0.641,2.6480712890625,0.69,2.633251953125,0.67755,0.1690522406526162,0.4204924149803192
ZNF85:P1P2,495,targeting,1.9925537109375,0.778,2.347900390625,0.638,2.8865966796875,0.422,2.2672119140625,0.642,2.56298828125,0.458,2.1800537109375,0.61,1.7974853515625,0.836,2.0030517578125,0.777,2.4296875,0.57,2.46337890625,0.553,2.0418701171875,0.756,2.419677734375,0.557,1.4549560546875,0.928,2.2335205078125,0.617,3.78125,0.215,2.6978759765625,0.456,1.0069580078125,0.994,2.968994140625,0.353,1.9307861328125,0.815,1.9466552734375,0.75,2.270672607421875,0.6362500000000001,0.19636537886235156,0.3561545208159818
GON4L:P2,572,targeting,5.4254150390625,0.03,6.176513671875,0.017,5.9454345703125,0.019,5.3704833984375,0.038,6.489990234375,0.016,5.5479736328125,0.028,4.0413818359375,0.087,4.9190673828125,0.05,5.741943359375,0.02,6.39013671875,0.015,5.0975341796875,0.05,5.9935302734375,0.019,3.9537353515625,0.107,4.8695068359375,0.047,8.8187255859375,0.002,4.9320068359375,0.041,3.3887939453125,0.17,6.5504150390625,0.007,5.0804443359375,0.039,4.4444580078125,0.06,5.45887451171875,0.043100000000000006,1.3654219771461118,0.7371031108850977
ZNF600:P1P2,404,targeting,2.735107421875,0.649,3.1578369140625,0.517,2.72412109375,0.638,2.74267578125,0.597,2.7398681640625,0.596,2.750244140625,0.572,2.789306640625,0.564,2.948486328125,0.576,2.3529052734375,0.782,2.7667236328125,0.61,3.567138671875,0.345,3.1158447265625,0.449,3.472900390625,0.418,2.44970703125,0.701,4.1417236328125,0.279,2.209228515625,0.788,3.141357421875,0.476,2.7935791015625,0.6,3.1796875,0.501,3.50537109375,0.356,2.964190673828125,0.5506999999999999,0.25907703736402654,0.4719061365299552
HOPX:P1,420,targeting,10.7254638671875,0.002,11.71875,0.002,13.1788330078125,0.0,11.0762939453125,0.004,12.671142578125,0.001,11.3056640625,0.001,9.8443603515625,0.004,9.7347412109375,0.005,11.78662109375,0.002,12.748779296875,0.0,10.0443115234375,0.002,12.174072265625,0.0,8.9471435546875,0.005,10.7911376953125,0.003,16.001953125,0.0,11.0257568359375,0.002,7.7330322265625,0.014,13.26171875,0.0,9.6397705078125,0.003,9.79638671875,0.007,11.210296630859375,0.0028500000000000005,2.543633966870957,1.0496171044273532
ZNF716:P1P2,412,targeting,4.185791015625,0.241,4.6063232421875,0.185,4.817138671875,0.15,3.965087890625,0.272,4.1248779296875,0.237,4.145263671875,0.199,2.851806640625,0.523,3.37841796875,0.403,4.2291259765625,0.217,5.2913818359375,0.081,4.095458984375,0.265,4.176513671875,0.221,3.0908203125,0.433,3.794677734375,0.275,6.7911376953125,0.051,3.685546875,0.285,2.7236328125,0.611,5.0806884765625,0.103,3.694091796875,0.368,3.74755859375,0.264,4.12376708984375,0.2692,0.5699088119660507,0.6152941283738206
TIGD2:P1P2,387,targeting,4.898193359375,0.174,4.7491455078125,0.171,3.025146484375,0.535,4.2021484375,0.262,4.0150146484375,0.271,3.6591796875,0.353,2.906494140625,0.552,4.692626953125,0.188,3.916015625,0.311,4.2530517578125,0.229,5.56396484375,0.126,3.7506103515625,0.32,3.816162109375,0.334,3.45458984375,0.393,5.4676513671875,0.129,2.544677734375,0.682,4.02392578125,0.274,2.5235595703125,0.696,4.90625,0.176,3.362060546875,0.449,3.9865234375,0.33124999999999993,0.4798310024762182,0.600594321733527
PSIP1:P1P2,1319,targeting,5.9185791015625,0.002,5.558349609375,0.0,4.1807861328125,0.005,5.62158203125,0.004,5.25927734375,0.0,5.3216552734375,0.0,6.047119140625,0.0,6.8016357421875,0.0,5.4725341796875,0.0,5.1510009765625,0.003,6.2615966796875,0.0,6.13671875,0.001,6.0592041015625,0.001,5.8404541015625,0.0,5.765380859375,0.0,4.9654541015625,0.001,6.2022705078125,0.002,4.9261474609375,0.002,6.4708251953125,0.0,6.9700927734375,0.0,5.746533203125,0.0010500000000000002,2.9746941347352296,0.7594059203735385
ZNF571:P1P2,1061,targeting,3.166259765625,0.039,3.48095703125,0.03,2.82470703125,0.071,3.87255859375,0.015,4.1656494140625,0.011,2.78857421875,0.077,2.7548828125,0.073,3.8045654296875,0.024,3.3824462890625,0.031,3.0465087890625,0.041,3.8780517578125,0.016,3.8428955078125,0.019,2.0926513671875,0.205,2.30029296875,0.155,5.22314453125,0.008,2.2783203125,0.161,2.100830078125,0.176,2.7630615234375,0.069,3.1209716796875,0.044,2.291015625,0.151,3.158917236328125,0.0708,1.1499054056132993,0.49953824753324094
KDM4E:ENST00000450979.2,474,targeting,3.021484375,0.44,2.4215087890625,0.649,2.974609375,0.458,3.703125,0.21,3.0831298828125,0.378,3.859130859375,0.192,4.4605712890625,0.118,3.535400390625,0.278,2.8651123046875,0.466,2.5523681640625,0.6,3.2080078125,0.394,3.2974853515625,0.302,4.139404296875,0.16,3.94970703125,0.175,2.2437744140625,0.717,3.740966796875,0.231,4.8896484375,0.109,3.5238037109375,0.248,3.135986328125,0.415,4.129638671875,0.146,3.4367431640625,0.33429999999999993,0.4758506324416388,0.5361470774970677
OR51A4,757,negative control,1.9320068359375,0.528,1.6142578125,0.677,1.35400390625,0.84,1.44482421875,0.748,0.973388671875,0.965,1.9803466796875,0.443,2.2674560546875,0.313,1.98583984375,0.45,1.5379638671875,0.721,1.8197021484375,0.526,2.165283203125,0.383,1.46923828125,0.731,2.5120849609375,0.243,2.463134765625,0.251,1.4794921875,0.767,2.1651611328125,0.352,3.0230712890625,0.129,1.609375,0.656,2.06396484375,0.484,2.8331298828125,0.159,1.934686279296875,0.5183000000000001,0.2854104120307688,0.2866105516721049
ZNF585A:P1P2,276,targeting,6.6837158203125,0.174,6.98486328125,0.147,5.8057861328125,0.248,7.1419677734375,0.147,6.798828125,0.136,6.1881103515625,0.171,5.1641845703125,0.29,6.3472900390625,0.2,6.652099609375,0.147,6.867919921875,0.132,6.7615966796875,0.154,7.32763671875,0.086,5.0687255859375,0.302,5.3153076171875,0.267,8.844482421875,0.063,4.7760009765625,0.412,5.13525390625,0.346,6.349609375,0.176,6.0555419921875,0.231,5.2994384765625,0.312,6.27841796875,0.20705,0.6839037903248695,0.7978502243107337
ZNF585B:P1P2,545,targeting,6.0660400390625,0.017,6.3056640625,0.017,5.4769287109375,0.038,6.0152587890625,0.02,6.134033203125,0.022,5.4432373046875,0.031,3.8643798828125,0.112,5.8538818359375,0.032,6.01025390625,0.021,6.584228515625,0.013,5.6531982421875,0.032,5.90869140625,0.017,4.3052978515625,0.089,5.3155517578125,0.047,8.7314453125,0.003,4.9830322265625,0.057,3.6397705078125,0.14,5.715087890625,0.023,6.0975341796875,0.024,4.4615478515625,0.083,5.628253173828125,0.04190000000000001,1.3776823391661557,0.7503736249253792
ZNF132:P1P2,447,targeting,9.265625,0.002,9.7591552734375,0.007,9.617431640625,0.002,9.209716796875,0.002,10.6737060546875,0.003,8.751220703125,0.009,7.2666015625,0.023,8.353515625,0.01,9.1876220703125,0.001,10.0025634765625,0.003,8.642822265625,0.009,9.8621826171875,0.003,6.75439453125,0.028,8.30517578125,0.009,13.2296142578125,0.0,7.918701171875,0.013,6.031494140625,0.054,10.1134033203125,0.002,8.334228515625,0.007,7.09716796875,0.021,8.918817138671875,0.0104,1.9825492704894638,0.9503072597335611
CREBRF:P1,399,targeting,6.352294921875,0.055,6.0460205078125,0.072,5.879150390625,0.071,6.464111328125,0.058,5.7801513671875,0.072,6.41259765625,0.045,4.6591796875,0.135,6.1123046875,0.063,6.1917724609375,0.061,6.7462158203125,0.04,6.09521484375,0.072,6.3590087890625,0.041,5.3935546875,0.098,5.6572265625,0.09,8.6778564453125,0.018,4.9267578125,0.127,4.3778076171875,0.169,5.7454833984375,0.077,5.82177734375,0.086,5.230712890625,0.1,5.9464599609375,0.0775,1.1106422631110686,0.774258499011393
ZNF37A:P1P2,537,targeting,4.121337890625,0.126,3.8319091796875,0.159,3.66552734375,0.193,4.083740234375,0.111,4.6268310546875,0.07,3.033935546875,0.288,3.23388671875,0.238,3.52392578125,0.227,3.6358642578125,0.169,3.3748779296875,0.267,3.838623046875,0.16,3.8416748046875,0.114,2.746337890625,0.383,3.601806640625,0.16,5.3936767578125,0.029,3.575439453125,0.19,2.020751953125,0.697,3.9486083984375,0.138,3.81494140625,0.172,2.52978515625,0.459,3.622174072265625,0.21750000000000003,0.6625207716059678,0.5589693175428788
OR5T3,555,negative control,6.401123046875,0.019,6.90087890625,0.02,7.561279296875,0.008,6.9512939453125,0.014,7.9456787109375,0.002,6.2174072265625,0.014,5.533935546875,0.036,5.842529296875,0.026,6.4925537109375,0.013,8.628662109375,0.005,6.1314697265625,0.021,7.2108154296875,0.008,4.2215576171875,0.108,5.794677734375,0.024,8.9705810546875,0.002,6.0909423828125,0.019,3.6075439453125,0.162,7.9696044921875,0.006,5.58349609375,0.043,5.229736328125,0.048,6.464288330078125,0.029900000000000003,1.5241835869686817,0.8105207192654815
ZNF616:P1P2,607,targeting,8.85107421875,0.003,9.5755615234375,0.0,9.233154296875,0.001,9.351806640625,0.005,10.0323486328125,0.002,9.336669921875,0.003,7.877197265625,0.002,9.697021484375,0.003,9.9310302734375,0.0,10.9791259765625,0.001,9.1220703125,0.002,10.4539794921875,0.0,7.86181640625,0.007,7.95556640625,0.003,13.1697998046875,0.0,7.854736328125,0.002,7.610595703125,0.007,9.6241455078125,0.002,8.23779296875,0.007,8.248779296875,0.004,9.250213623046875,0.0027,2.567030709125594,0.9661517623865123
HOXA9:P1P2,350,targeting,10.3304443359375,0.007,8.25341796875,0.048,9.3172607421875,0.018,11.5758056640625,0.009,8.848388671875,0.02,10.7310791015625,0.008,10.6414794921875,0.009,9.0557861328125,0.026,9.02978515625,0.015,8.897705078125,0.012,10.2640380859375,0.014,9.60888671875,0.011,10.9305419921875,0.005,10.5023193359375,0.006,7.55029296875,0.055,9.2176513671875,0.013,10.9930419921875,0.006,7.683349609375,0.044,9.1314697265625,0.019,9.5343017578125,0.011,9.604852294921875,0.017800000000000003,1.7493360805367564,0.9824906905934843
MXD1:P1P2,648,targeting,1.43896484375,0.847,1.7113037109375,0.731,2.0592041015625,0.541,1.76806640625,0.656,2.1898193359375,0.419,1.54931640625,0.738,1.7880859375,0.666,1.994140625,0.606,1.7276611328125,0.716,2.1961669921875,0.472,1.345947265625,0.871,2.0213623046875,0.525,1.71484375,0.69,1.893798828125,0.61,2.9942626953125,0.237,2.36767578125,0.37,1.573486328125,0.756,2.6461181640625,0.298,1.59521484375,0.801,2.0521240234375,0.502,1.931378173828125,0.6026,0.2199636657114762,0.28586731920989794
