,pval_outlier
DNAJC19_ B,1.0
DNAJC19_ main,0.5
DNAJC19_C,1.0
OR5K2-1,1.0
OR5K2-2,1.0
OR5K2-3,1.0
OR5K2-4,1.0
OR5K2-5,1.0
OR5K2-6,1.0
SP8_+_20826307.23-P1P2-1,1.0
SP8_+_20826307.23-P1P2-2,1.0
SP8_+_20826436.23-P1P2-1,1.0
SP8_+_20826436.23-P1P2-2,1.0
SP8_-_20826141.23-P1P2-1,1.0
SP8_-_20826141.23-P1P2-2,1.0
FOXN3_-_89883145.23-P2-1,1.0
FOXN3_-_89883319.23-P2-1,1.0
FOXN3_-_89883583.23-P2-1,1.0
FOXN3_-_89883583.23-P2-2,1.0
ZNF85_+_21106076.23-P1P2-1,0.2771
ZNF85_+_21106076.23-P1P2-2,1.0
ZNF85_-_21106240.23-P1P2-1,1.0
ZNF85_-_21106240.23-P1P2-2,0.367
ZNF85_-_21106392.23-P1P2-1,1.0
ZNF85_-_21106392.23-P1P2-2,0.2771
GON4L_+_155829080.23-P2-1,1.0
GON4L_+_155829080.23-P2-2,1.0
GON4L_-_155829135.23-P2-1,1.0
GON4L_-_155829135.23-P2-2,1.0
GON4L_-_155829166.23-P2-1,1.0
GON4L_-_155829166.23-P2-2,1.0
ZNF600_+_53290020.23-P1P2-1,1.0
ZNF600_+_53290020.23-P1P2-2,1.0
ZNF600_-_53289553.23-P1P2-1,1.0
HOPX_+_57546961.23-P1-1,1.0
HOPX_+_57546961.23-P1-2,1.0
HOPX_-_57547423.23-P1-1,1.0
HOPX_-_57547423.23-P1-2,1.0
HOPX_-_57547429.23-P1-1,1.0
HOPX_-_57547429.23-P1-2,1.0
ZNF716_+_57510178.23-P1P2-1,1.0
ZNF716_+_57510178.23-P1P2-2,1.0
ZNF716_-_57509878.23-P1P2-1,1.0
ZNF716_-_57509878.23-P1P2-2,1.0
ZNF716_-_57510361.23-P1P2-1,1.0
ZNF716_-_57510361.23-P1P2-2,1.0
TIGD2_+_90034712.23-P1P2-1,1.0
TIGD2_-_90034726.23-P1P2-1,0.7186
TIGD2_-_90034780.23-P1P2-1,0.9948
TIGD2_-_90034780.23-P1P2-2,0.3634
PSIP1_+_15510560.23-P1P2-1,0.5649
PSIP1_+_15510560.23-P1P2-2,0.9964
PSIP1_+_15510952.23-P1P2-1,0.9999
PSIP1_+_15510952.23-P1P2-2,0.8792
PSIP1_-_15510786.23-P1P2-1,0.0319
PSIP1_-_15510786.23-P1P2-2,1.0
ZNF571_-_38085259.23-P1P2-1,0.8792
ZNF571_-_38085259.23-P1P2-2,0.9854
ZNF571_-_38085623.23-P1P2-1,0.8209
ZNF571_-_38085623.23-P1P2-2,0.9997
ZNF571_-_38085628.23-P1P2-1,1.0
ZNF571_-_38085628.23-P1P2-2,0.9227
KDM4E_+_94758533.23-ENST00000450979.2-1,0.367
KDM4E_+_94758533.23-ENST00000450979.2-2,0.661
KDM4E_+_94758653.23-ENST00000450979.2-1,1.0
KDM4E_+_94758653.23-ENST00000450979.2-2,0.9531
KDM4E_-_94758542.23-ENST00000450979.2-1,0.2771
KDM4E_-_94758542.23-ENST00000450979.2-2,1.0
OR51A4-1,1.0
OR51A4-2,1.0
OR51A4-3,1.0
OR51A4-4,1.0
OR51A4-5,1.0
OR51A4-6,1.0
ZNF585A_+_37663477.23-P1P2-1,1.0
ZNF585A_+_37663477.23-P1P2-2,1.0
ZNF585A_+_37663586.23-P1P2-1,1.0
ZNF585A_+_37663586.23-P1P2-2,1.0
ZNF585A_-_37663591.23-P1P2-1,1.0
ZNF585A_-_37663591.23-P1P2-2,1.0
ZNF585B_+_37701409.23-P1P2-1,1.0
ZNF585B_+_37701409.23-P1P2-2,1.0
ZNF585B_+_37701449.23-P1P2-1,1.0
ZNF585B_+_37701449.23-P1P2-2,1.0
ZNF585B_-_37701400.23-P1P2-1,1.0
ZNF585B_-_37701400.23-P1P2-2,1.0
ZNF132_+_58951445.23-P1P2-2,1.0
ZNF132_-_58951319.23-P1P2-1,1.0
ZNF132_-_58951319.23-P1P2-2,1.0
ZNF132_-_58951324.23-P1P2-1,1.0
ZNF132_-_58951324.23-P1P2-2,1.0
CREBRF_+_172483464.23-P1-2,0.9999
CREBRF_-_172483418.23-P1-1,0.9996
CREBRF_-_172483418.23-P1-2,0.3192
CREBRF_-_172483425.23-P1-1,0.3192
CREBRF_-_172483425.23-P1-2,0.8266
ZNF37A_+_38383302.23-P1P2-1,1.0
ZNF37A_+_38383302.23-P1P2-2,1.0
ZNF37A_+_38383329.23-P1P2-1,1.0
ZNF37A_+_38383329.23-P1P2-2,1.0
ZNF37A_+_38383339.23-P1P2-1,1.0
ZNF37A_+_38383339.23-P1P2-2,1.0
OR5T3-1,1.0
OR5T3-2,1.0
OR5T3-3,1.0
OR5T3-4,1.0
OR5T3-5,1.0
OR5T3-6,1.0
ZNF616_+_52643165.23-P1P2-1,1.0
ZNF616_+_52643165.23-P1P2-2,0.1366
ZNF616_-_52643074.23-P1P2-1,1.0
ZNF616_-_52643074.23-P1P2-2,0.0548
ZNF616_-_52643170.23-P1P2-1,0.0548
ZNF616_-_52643170.23-P1P2-2,1.0
HOXA9_+_27205072.23-P1P2-1,1.0
HOXA9_+_27205072.23-P1P2-2,1.0
HOXA9_+_27205109.23-P1P2-1,1.0
HOXA9_+_27205109.23-P1P2-2,1.0
HOXA9_-_27204908.23-P1P2-1,1.0
MXD1_+_70142290.23-P1P2-1,1.0
MXD1_+_70142290.23-P1P2-2,1.0
MXD1_-_70142272.23-P1P2-1,1.0
MXD1_-_70142272.23-P1P2-2,1.0
MXD1_-_70142468.23-P1P2-1,1.0
MXD1_-_70142468.23-P1P2-2,1.0
HOXB4_+_46655552.23-P1P2-1,0.0045
HOXB4_+_46655552.23-P1P2-2,0.9964
HOXB4_+_46655726.23-P1P2-1,0.5649
HOXB4_+_46655726.23-P1P2-2,1.0
HOXB4_+_46655791.23-P1P2-1,0.9227
